,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Berlevag,NO,70.86,29.09,35.6,80,40,10.29,scattered clouds
324,Kutum,SD,14.2,24.67,71.15,21,87,13.31,overcast clouds
325,Mogadishu,SO,2.04,45.34,80.94,80,64,18.52,broken clouds
326,Borba,BR,-4.39,-59.59,78.03,79,77,2.26,broken clouds
327,Kamina,CD,-8.74,24.99,65.01,94,94,2.86,overcast clouds
328,Barkhan,PK,29.9,69.53,71.76,16,0,1.92,clear sky
329,Duartina,BR,-22.41,-49.4,69.01,68,0,7.0,clear sky
330,Edd,ER,13.93,41.69,85.39,57,38,4.45,scattered clouds
331,San Patricio,US,28.02,-97.52,79.0,83,20,12.75,few clouds
332,Mattru,SL,7.62,-11.83,73.0,97,11,0.67,few clouds
333,Ostrovnoy,RU,68.05,39.51,31.68,96,100,15.64,overcast clouds
334,Saint-Michel-Des-Saints,CA,46.68,-73.92,38.32,85,72,4.97,broken clouds
335,Rodrigues Alves,BR,-7.74,-72.65,71.53,97,97,1.54,overcast clouds
336,Stelle,DE,53.38,10.11,52.0,93,14,5.82,few clouds
337,Karpogory,RU,64.0,44.45,23.97,97,100,11.16,overcast clouds
338,Takoradi,GH,4.88,-1.76,76.69,90,46,6.08,light rain
339,Korla,CN,41.76,86.15,60.8,27,47,7.74,scattered clouds
340,Pisco,PE,-13.7,-76.22,62.01,87,0,10.29,clear sky
341,Wilmington,US,34.23,-77.94,72.0,93,40,5.82,scattered clouds
342,Torit,SS,4.41,32.57,71.15,90,82,1.5,broken clouds
343,Nuuk,GL,64.18,-51.72,26.6,73,2,14.99,clear sky
344,Lima,PE,-12.04,-77.03,62.6,77,75,13.87,broken clouds
345,Ewo,CG,-0.87,14.82,71.08,93,100,6.69,light rain
346,Burgeo,CA,47.62,-57.62,41.94,69,76,19.35,broken clouds
347,Luzino,RU,54.95,73.04,30.2,92,75,11.18,light shower snow
348,Luderitz,NA,-26.65,15.16,56.35,90,5,6.29,clear sky
349,Fuerte Olimpo,PY,-21.04,-57.87,72.95,87,49,4.43,scattered clouds
350,Susehri,TR,40.16,38.09,52.74,57,0,1.48,clear sky
351,Carepa,CO,7.76,-76.65,75.54,93,100,2.46,moderate rain
352,Peno,RU,56.93,32.74,51.6,87,100,12.19,light rain
353,Farafangana,MG,-22.82,47.83,74.26,73,40,4.99,scattered clouds
354,Aguimes,ES,27.91,-15.45,68.0,64,20,9.17,few clouds
355,Lerwick,GB,60.15,-1.15,44.6,75,99,11.41,overcast clouds
356,Severodvinsk,RU,64.56,39.83,30.2,86,90,13.42,overcast clouds
357,Veraval,IN,20.9,70.37,84.18,50,0,5.93,clear sky
358,Alta Floresta,BR,-9.88,-56.09,71.94,93,75,3.94,broken clouds
359,La Rioja,ES,42.25,-2.5,55.99,100,20,1.12,few clouds
360,Bud,US,39.45,-86.18,68.0,82,0,6.93,clear sky
