City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Shu,KZ,2020-10-22 02:04:42,43.6,73.76,50.41,47,100,9.19
213,Maun,BW,2020-10-22 02:04:42,-19.98,23.42,74.28,45,0,11.95
214,Marginea,RO,2020-10-22 02:04:42,47.82,25.82,51.8,43,100,6.93
215,Trincomalee,LK,2020-10-22 02:04:42,8.57,81.23,82.11,75,2,17.81
216,Buraydah,SA,2020-10-22 02:04:25,26.33,43.98,62.6,39,0,4.7
217,Mutis,CO,2020-10-22 02:04:43,6.23,-77.4,78.04,83,100,3.44
218,Lardos,GR,2020-10-22 02:04:43,36.09,28.02,64.99,93,40,3.36
219,Riyadh,SA,2020-10-22 02:04:43,24.69,46.72,62.6,23,0,6.93
220,Antalaha,MG,2020-10-22 01:59:15,-14.9,50.28,71.73,85,85,9.8
221,Hambantota,LK,2020-10-22 01:58:14,6.12,81.12,77.0,100,40,4.7
222,Koygorodok,RU,2020-10-22 02:04:44,60.45,51.0,25.18,96,82,8.88
223,Gemena,CD,2020-10-22 02:04:44,3.25,19.77,68.81,98,100,2.01
224,Chimoio,MZ,2020-10-22 02:04:44,-19.12,33.48,66.2,100,40,16.11
225,Kamina,CD,2020-10-22 02:04:45,-8.74,24.99,65.88,92,100,3.44
226,Grootfontein,NA,2020-10-22 02:04:45,-19.57,18.12,60.53,28,0,4.14
227,Beaufort,MY,2020-10-22 02:04:45,5.35,115.75,82.4,83,40,6.93
228,Kayerkan,RU,2020-10-22 02:04:45,69.35,87.76,12.2,92,40,13.42
229,Mhlume,SZ,2020-10-22 02:04:45,-26.03,31.85,61.0,89,9,3.36
230,Santa Cruz De Tenerife,ES,2020-10-22 02:04:33,28.47,-16.25,64.0,93,20,6.93
231,Yelniki,RU,2020-10-22 02:04:46,54.62,43.88,31.35,98,96,4.14
232,Ilulissat,GL,2020-10-22 01:54:50,69.22,-51.1,28.4,74,100,4.7
233,Mimongo,GA,2020-10-22 02:04:46,-1.62,11.61,69.82,96,100,3.31
234,Iisalmi,FI,2020-10-22 02:04:46,63.56,27.19,37.4,93,90,12.75
235,Berlevag,NO,2020-10-22 01:58:54,70.86,29.09,30.43,94,13,8.68
236,Micheweni,TZ,2020-10-22 02:04:47,-4.97,39.83,77.27,86,18,8.79
237,Mana,GF,2020-10-22 02:04:47,5.66,-53.78,80.11,81,32,10.27
238,Santo Antonio Do Taua,BR,2020-10-22 02:04:47,-1.15,-48.13,78.8,83,54,6.93
239,Neuquen,AR,2020-10-22 02:04:48,-38.95,-68.06,59.0,47,0,14.99
240,Praia Da Vitoria,PT,2020-10-22 01:59:04,38.73,-27.07,62.6,63,75,16.22
241,Antofagasta,CL,2020-10-22 01:59:06,-23.65,-70.4,59.0,82,90,12.75
242,Progreso,MX,2020-10-22 02:04:48,21.28,-89.67,81.0,83,40,5.82
243,Botwood,CA,2020-10-22 02:04:48,49.15,-55.35,42.01,86,100,6.71
244,Upata,VE,2020-10-22 01:59:21,8.01,-62.4,82.0,82,28,5.99
245,Oranjemund,NA,2020-10-22 02:04:49,-28.55,16.43,64.71,49,99,5.93
246,Sabang,ID,2020-10-22 02:04:49,5.89,95.32,83.16,74,100,12.62
247,Amari,GR,2020-10-22 02:04:49,35.23,24.65,64.0,87,40,3.36
248,Rincon,US,2020-10-22 01:59:49,32.3,-81.24,69.8,94,75,4.7
